date,Treatment,Total_Sap_Flow
2024-10-16,roof_vpd,0.4163316526146915
2024-10-17,control,0.5551382592120593
2024-10-17,irrigation,0.9096720624568375
2024-10-17,irrigation_vpd,0.719446306090358
2024-10-17,roof,0.45181696789554726
2024-10-17,roof_vpd,0.4071746444591413
2024-10-18,control,0.1393071037298951
2024-10-18,irrigation,0.1867000658481032
2024-10-18,irrigation_vpd,0.15909250897345292
2024-10-18,roof,0.11281955720043918
2024-10-18,roof_vpd,0.09081318305474702
2024-10-19,control,0.18648946432314153
2024-10-19,irrigation,0.23793683653152203
2024-10-19,irrigation_vpd,0.25366604686074057
2024-10-19,roof,0.16764574465057336
2024-10-19,roof_vpd,0.12351266978554074
2024-10-20,control,0.3701915310933177
2024-10-20,irrigation,0.5039385921233568
